"etf_tck_cd","tck_iem_cd","mkt_vlu","fc_sec_eng_nm","fc_sec_krl_nm","stk_qty","wht_pct","sec_tp"
DFEN,RKLB,293121,ROCKET LAB USA INC,로켓 랩,61451,0.051,ST
DFEN,TGI,240717,TRIUMPH GROUP INC,트럼프 그룹,17752,0.042,ST
DFEN,DCO,194875,DUCOMMUN INC,듀코먼,3161,0.034,ST
DFEN,ACHR,191942,ARCHER AVIATION INC-A,아쳐 애비에이션,48106,0.033,ST
DFEN,RGR,166910,STURM RUGER & CO INC,스텀 루거,4020,0.029,ST
DFEN,CDRE,153855,CADRE HOLDINGS INC,캐더 홀딩스,4500,0.027,ST
DFEN,SWBI,156523,SMITH & WESSON BRANDS INC,스미스 앤 웨손 브랜즈,10512,0.027,ST
DFEN,VVX,127384,V2X INC,브이투엑스(V2X),2688,0.022,ST
DFEN,NPK,88561,NATIONAL PRESTO INDS INC,내셔널 프레스토 인더스트리스,1213,0.015,ST
DFEN,SPCE,25404,VIRGIN GALACTIC HOLDINGS INC,버진 갤럭틱 홀딩스,4227,0.004,ST
DFEN,-,243392900,DOW JONES U.S SELECT AERO DEF INDEX SWAP,-,6886,42.464,-
DFEN,-,89213430,DOW JONES U.S SELECT AERO DEF INDEX SWAP,-,2524,15.565,-
DFEN,-,63269429,DOW JONES U.S SELECT AERO DEF INDEX SWAP,-,1790,11.038,-
DFEN,-,30466549,GOLDMAN FINL SQ TRSRY INST 506,-,0,5.315,-
DFEN,GE,21545198,GENERAL ELECTRIC CO,GE,130096,3.759,ST
DFEN,-,18320305,DREYFUS GOVT CASH MAN INS,-,0,3.196,-
DFEN,RTX,18187641,RTX CORP,레이시온,158016,3.173,ST
DFEN,BA,11070610,BOEING CO/THE,보잉,65557,1.931,ST
DFEN,-,8518398,DOW JONES U.S SELECT AERO DEF INDEX SWAP,-,241,1.486,-
DFEN,AXON,6036480,AXON ENTERPRISE INC,액손 엔터프라이즈,16383,1.053,ST
DFEN,LMT,5983973,LOCKHEED MARTIN CORP,록히드마틴,10848,1.044,ST
DFEN,NOC,5728299,NORTHROP GRUMMAN CORP,노스롭그루먼,11659,0.999,ST
DFEN,HWM,5488816,HOWMET AEROSPACE INC,하우멧 에어로스페이스,59687,0.958,ST
DFEN,LHX,5244529,L3HARRIS TECHNOLOGIES INC,에에치쓰리해리스,22741,0.915,ST
DFEN,-,5050000,GOLDMAN SACHS FIN GOV 465 INSTITUT,-,5050000,0.881,-
DFEN,GD,4919463,GENERAL DYNAMICS CORP,-,16917,0.858,-
DFEN,TDG,4635166,TRANSDIGM GROUP INC,-,3765,0.809,-
DFEN,TXT,3733711,TEXTRON INC,텍스트론,44040,0.651,ST
DFEN,HEI/A,3062034,HEICO CORP-CLASS A,-,16770,0.534,-
DFEN,CW,2534934,CURTISS-WRIGHT CORP,커티스 라이트,8843,0.442,ST
DFEN,HII,2336235,HUNTINGTON INGALLS INDUSTRIE,헌팅턴 인올 인더스트리즈,9106,0.408,ST
DFEN,WWD,2217257,WOODWARD INC,우드워드,14068,0.387,ST
DFEN,BWXT,2059605,BWX TECHNOLOGIES INC,BWX 테크놀로지,21109,0.359,ST
DFEN,HEI,2060475,HEICO CORP,하이코,8816,0.359,ST
DPST,-,197336617,S&P REGIONAL BANKS SELECT INDUSRTY INDEX SWAP,-,118433,8.54,-
DPST,-,119435524,DREYFUS GOVT CASH MAN INS,-,0,5.169,-
DPST,-,116636100,S&P REGIONAL BANKS SELECT INDUSRTY INDEX SWAP,-,70000,5.047,-
DPST,-,108304950,S&P REGIONAL BANKS SELECT INDUSRTY INDEX SWAP,-,65000,4.687,-
DPST,-,61949928,GOLDMAN FINL SQ TRSRY INST 506,-,0,2.681,-
DPST,-,24059420,DREYFUS TRSRY SECURITIES CASH MGMT,-,0,1.041,-
DPST,COLB,11758691,COLUMBIA BANKING SYSTEM INC,콜롬비아 뱅킹 시스템,501223,0.509,ST
DPST,WAL,11656541,WESTERN ALLIANCE BANCORP,웨스턴 얼라이언스 뱅코프,157457,0.504,ST
DPST,VLY,11301823,VALLEY NATIONAL BANCORP,밸리 내셔날 뱅크코프,1414496,0.489,ST
DPST,TFC,10957468,TRUIST FINANCIAL CORP,트루이스트 파이낸셜,260458,0.474,ST
DPST,CFG,10765142,CITIZENS FINANCIAL GROUP,시티즌즈 파이낸셜,270685,0.466,ST
DPST,MTB,10519481,M & T BANK CORP,M&T 뱅크,64867,0.455,ST
DPST,SNV,10470626,SYNOVUS FINANCIAL CORP,시노버스 파이낸셜,252122,0.453,ST
DPST,ZION,10446885,ZIONS BANCORP NA,자이온크 뱅크콥,226319,0.452,ST
DPST,EWBC,10431466,EAST WEST BANCORP INC,이스트 웨스트 뱅크코프,132868,0.451,ST
DPST,RF,10300622,REGIONS FINANCIAL CORP,리전스,494509,0.446,ST
DPST,WBS,10227513,WEBSTER FINANCIAL CORP,웹스터 파이낸셜,232655,0.443,ST
DPST,OZK,10070550,BANK OZK,뱅크 OZK,243662,0.436,ST
DPST,HBAN,10057563,HUNTINGTON BANCSHARES INC,헌팅턴 내셔날 뱅크,745557,0.435,ST
DPST,"1390",9966447,SOUTHSTATE CORP,KG케미칼,111744,0.431,ST
DPST,CFR,9762790,CULLEN/FROST BANKERS INC,컬른 프로스트 뱅커스,91937,0.422,ST
DPST,FHN,9661945,FIRST HORIZON CORP,퍼스트 호라이즌,646284,0.418,ST
DPST,NYCB,9454308,NEW YORK COMMUNITY BANCORP,뉴욕 커뮤니티 뱅크코프,1007922,0.409,ST
DPST,PB,8522430,PROSPERITY BANCSHARES INC,프로스퍼리티 방크셰어즈,121506,0.369,ST
DPST,PNFP,8265577,PINNACLE FINANCIAL PARTNERS,피나클 파이낸셜 파트너즈,94854,0.358,ST
DPST,BPOP,7967021,POPULAR INC,파퓰러,83503,0.345,ST
DPST,WTFC,7856597,WINTRUST FINANCIAL CORP,윈트러스트 파이낸셜,80055,0.34,ST
DPST,CADE,7598537,CADENCE BANK,캐든스 뱅크,255843,0.329,ST
DPST,AX,7464583,AXOS FINANCIAL INC,액소스 파이낸셜,113237,0.323,ST
DPST,ONB,7307091,OLD NATIONAL BANCORP,올드 내셔날 뱅크코프,405499,0.316,ST
DPST,TBBK,7290727,BANCORP INC/THE,뱅크코프,154138,0.316,ST
DPST,BANC,6928320,BANC OF CALIFORNIA INC,뱅크 오브 캘리포니아,527671,0.3,ST
DPST,FNB,6749688,FNB CORP,FNB,492678,0.292,ST
DPST,CBSH,6009197,COMMERCE BANCSHARES INC,커머스 뱅크셰어즈,99342,0.26,ST
DPST,BKU,5852016,BANKUNITED INC,뱅크유나이티드,168646,0.253,ST
DPST,ASB,5705519,ASSOCIATED BANC-CORP,어소시에이티드 뱅크,279135,0.247,ST
DPST,TCBI,5617973,TEXAS CAPITAL BANCSHARES INC,텍사스 캐피탈 뱅크셰어즈,94388,0.243,ST
DPST,HOMB,5594525,HOME BANCSHARES INC,홈 뱅크셰어즈,214514,0.242,ST
DPST,HWC,5479290,HANCOCK WHITNEY CORP,핸콕 위트니,112488,0.237,ST
DPST,UMBF,5470782,UMB FINANCIAL CORP,UMB 파이낸셜,57898,0.237,ST
DPST,GBCI,5459289,GLACIER BANCORP INC,글래이시어 뱅크코프,130045,0.236,ST
DPST,FULT,4968985,FULTON FINANCIAL CORP,풀턴 파이낸셜,285246,0.215,ST
DPST,FIBK,4787788,FIRST INTERSTATE BANCSYS-A,퍼스트 인터스테이트 뱅크시스템,168347,0.207,ST
DPST,UBSI,4117453,UNITED BANKSHARES INC,유나이티드 뱅크셰어즈,113679,0.178,ST
DPST,PFS,4013567,PROVIDENT FINANCIAL SERVICES,프로비든트 파이낸셜 서비시즈,235538,0.174,ST
DPST,BOH,3993709,BANK OF HAWAII CORP,뱅크 오브 하와이,60575,0.173,ST
DPST,ABCB,3937502,AMERIS BANCORP,아메리스 뱅크코프,69420,0.17,ST
DPST,FBP,3939057,FIRST BANCORP PUERTO RICO,퍼스트 뱅크코프,200563,0.17,ST
DPST,FFIN,3821336,FIRST FINL BANKSHARES INC,퍼스트 파이낸셜 뱅크셰어즈,108901,0.165,ST
DPST,CBU,3588922,COMMUNITY FINANCIAL SYSTEM I,커뮤니티 뱅크 시스템,61910,0.155,ST
DPST,FHB,3574404,FIRST HAWAIIAN INC,퍼스트 하와이안,153804,0.155,ST
DPST,INDB,3549866,INDEPENDENT BANK CORP/MA,인디펜던트 뱅크 (매사추세츠),60723,0.154,ST
DPST,CUBI,3389985,CUSTOMERS BANCORP INC,커스터머즈 뱅크코프,72112,0.147,ST
DPST,WAFD,3231932,WAFD INC,워싱턴 페더랄,96017,0.14,ST
DPST,BOKF,3213086,BOK FINANCIAL CORPORATION,BOK 파이낸셜,32857,0.139,ST
DPST,CATY,3220494,CATHAY GENERAL BANCORP,캐세이 제네랄 뱅크코프,79303,0.139,ST
DPST,PPBI,3113842,PACIFIC PREMIER BANCORP INC,퍼시픽 프리미어 뱅코프,126271,0.135,ST
DPST,AUB,3060199,ATLANTIC UNION BANKSHARES CO,아틀란틱 유니언 뱅크셰어즈,83135,0.132,ST
DPST,CVBF,2940649,CVB FINANCIAL CORP,CVB 파이낸셜,173900,0.127,ST
DPST,IBOC,2939062,INTERNATIONAL BANCSHARES CRP,인터내셔날 뱅크셰어즈,50482,0.127,ST
DPST,IBTX,2933177,INDEPENDENT BANK GROUP INC,인디펜던트 뱅크 그룹,55902,0.127,ST
DPST,SFBS,2812474,SERVISFIRST BANCSHARES INC,서비스퍼스트 뱅크셰어즈,37797,0.122,ST
DPST,TFIN,2821926,TRIUMPH FINANCIAL INC,트라이엄프 파이낸셜,34255,0.122,ST
DPST,EBC,2798750,EASTERN BANKSHARES INC,이스턴 뱅크셰어즈,185840,0.121,ST
DPST,HTLF,2778318,HEARTLAND FINANCIAL USA INC,하트랜드 파이낸셜 USA,54810,0.12,ST
DPST,WSFS,2768629,WSFS FINANCIAL CORP,WSFS 파이낸셜,55141,0.12,ST
DPST,-,2738445,GOLDMAN SACHS FIN GOV 465 INSTITUT,-,0,0.119,-
DPST,SBCF,2404656,SEACOAST BANKING CORP/FL,시코스트 뱅킹,93421,0.104,ST
DPST,CASH,2312907,PATHWARD FINANCIAL INC,패스워드 파이낸셜,37185,0.1,ST
DPST,BANR,2186608,BANNER CORPORATION,배너 코퍼레이션,40598,0.095,ST
DPST,NWBI,2203871,NORTHWEST BANCSHARES INC,노스웨스트 뱅크셰여즈,171108,0.095,ST
DPST,FRME,2140210,FIRST MERCHANTS CORP,퍼스트 머천트,59220,0.093,ST
DPST,SFNC,2099646,SIMMONS FIRST NATL CORP-CL A,시몬스 퍼스트 내셔널,107951,0.091,ST
DPST,OFG,2019347,OFG BANCORP,OFG 뱅코프,48414,0.087,ST
DPST,SASR,1958856,SANDY SPRING BANCORP INC,샌디 스프링,69463,0.085,ST
DPST,VBTX,1964759,VERITEX HOLDINGS INC,베리텍스 홀딩스,88423,0.085,ST
DPST,FFBC,1900296,FIRST FINANCIAL BANCORP,퍼스트 파이낸셜 뱅코프,77881,0.082,ST
DPST,TOWN,1900288,TOWNE BANK,타운뱅크,60231,0.082,ST
DPST,TRMK,1841404,TRUSTMARK CORP,트러스트마크,58737,0.08,ST
DPST,HTH,1783736,HILLTOP HOLDINGS INC,힐탑 홀딩스,58273,0.077,ST
DPST,NBTB,1745517,N B T BANCORP INC,NBT 뱅브코프,38919,0.076,ST
DPST,FCF,1665612,FIRST COMMONWEALTH FINL CORP,퍼스트 커먼웰스 파이낸셜,103390,0.072,ST
DPST,EGBN,1652016,EAGLE BANCORP INC,이글 뱅코프,84632,0.071,ST
DPST,HOPE,1647157,HOPE BANCORP INC,호프 뱅코프,139708,0.071,ST
DPST,RNST,1599217,RENASANT CORP,르네샌트,49237,0.069,ST
DPST,PRK,1569830,PARK NATIONAL CORP,파크 내셔널,9776,0.068,ST
DPST,BANF,1451228,BANCFIRST CORP,뱅크 퍼스트,14619,0.063,ST
DPST,CHCO,1451584,CITY HOLDING CO,시티 홀딩,12813,0.063,ST
DPST,PFBC,1459134,PREFERRED BANK/LOS ANGELES,프리퍼드 은행,18847,0.063,ST
DPST,LKFN,1433984,LAKELAND FINANCIAL CORP,레이크랜드 파이낸셜,23047,0.062,ST
DPST,WABC,1417889,WESTAMERICA BANCORPORATION,웨스트아메리카 뱅크,28972,0.061,ST
DPST,LOB,1383729,LIVE OAK BANCSHARES INC,라이프 오크 뱅크셰어스,34978,0.06,ST
DPST,NBHC,1394757,NATIONAL BANK HOLD-CL A,내셔널 뱅크 홀딩스,35159,0.06,ST
DPST,BHLB,1363715,BERKSHIRE HILLS BANCORP INC,버크셔 힐스 뱅코프,53500,0.059,ST
DPST,STBA,1342160,S & T BANCORP INC,S&T 뱅코프,33554,0.058,ST
DPST,WSBC,1339642,WESBANCO INC,웨스뱅코,44536,0.058,ST
DPST,EFSC,1306983,ENTERPRISE FINANCIAL SERVICE,엔터프라이즈 파이낸셜 서비시즈,26937,0.057,ST
DPST,FBNC,1282711,FIRST BANCORP/NC,퍼스트 뱅코프(노스 캐롤라이나),32124,0.056,ST
DPST,BY,548324,BYLINE BANCORP INC,바이라인 뱅코프,21319,0.024,ST
DPST,CCB,548640,COASTAL FINANCIAL CORP/WA,코스탈 파이낸셜,11430,0.024,ST
DPST,CFB,545900,CROSSFIRST BANKSHARES INC,크로스퍼스트 뱅크셰어즈,33125,0.024,ST
DPST,FFIC,504002,FLUSHING FINANCIAL CORP,플러싱 파이낸셜,39654,0.022,ST
DPST,TRST,517520,TRUSTCO BANK CORP NY,트러스트코 은행,15963,0.022,ST
DPST,UVSP,497102,UNIVEST FINANCIAL CORP,유니베스트 파이낸셜,19275,0.022,ST
DPST,CTBI,466560,COMMUNITY TRUST BANCORP INC,커뮤니티 트러스트 뱅코프,10125,0.02,ST
DPST,HBNC,469731,HORIZON BANCORP INC/IN,호라이즌 뱅코프,32575,0.02,ST
DPST,IBCP,469454,INDEPENDENT BANK CORP - MICH,인디펜던트 뱅크,15095,0.02,ST
DPST,THFF,418160,FIRST FINANCIAL CORP/INDIANA,퍼스트 파이낸셜,10239,0.018,ST
DPST,HONE,382265,HARBORONE BANCORP INC,하버원 뱅코프,31776,0.017,ST
DPST,AMTB,366369,AMERANT BANCORP INC,아머란트 뱅코프,18588,0.016,ST
DPST,CAC,354040,CAMDEN NATIONAL CORP,캠던 내셔널,9605,0.015,ST
DPST,FBMS,1252982,FIRST BANCSHARES INC/MS,퍼스트 뱅크셰어스(미시시피),39464,0.054,ST
DPST,FBK,1197451,FB FINANCIAL CORP,FB 파이낸셜,27572,0.052,ST
DPST,CFFN,1122518,CAPITOL FEDERAL FINANCIAL IN,캐피톨 페더랄 파이낸셜,197975,0.049,ST
DPST,NBBK,1041845,NB BANCORP INC,NB 뱅코프,59534,0.045,ST
DPST,TCBK,1034633,TRICO BANCSHARES,트라이코 뱅크셰어스,24640,0.045,ST
DPST,DCOM,1012099,DIME COMMUNITY BANCSHARES IN,다임 커뮤니티 뱅크셰어즈,45183,0.044,ST
DPST,OCFC,1016753,OCEANFIRST FINANCIAL CORP,오션퍼스트 파이낸셜,64189,0.044,ST
DPST,SYBT,980904,STOCK YARDS BANCORP INC,스탁 야즈 뱅코프,17639,0.042,ST
DPST,CPF,941930,CENTRAL PACIFIC FINANCIAL CO,센트럴 퍼시픽 파이낸셜,37602,0.041,ST
DPST,BRKL,904925,BROOKLINE BANCORP INC,브룩라인 뱅크코프,94165,0.039,ST
DPST,BUSE,873470,FIRST BUSEY CORP,퍼스트 버지,35051,0.038,ST
DPST,MCB,889176,METROPOLITAN BANK HOLDING CO,메트로폴리탄 뱅크 홀딩스,20031,0.038,ST
DPST,STEL,880669,STELLAR BANCORP INC,스텔라 뱅코프,35597,0.038,ST
DPST,HAFC,844934,HANMI FINANCIAL CORPORATION,한미 파이낸셜,45451,0.037,ST
DPST,HFWA,840132,HERITAGE FINANCIAL CORP,헤리티지 파이낸셜,39779,0.036,ST
DPST,QCRH,817854,QCR HOLDINGS INC,큐씨알 홀딩스,11609,0.035,ST
DPST,SBSI,809048,SOUTHSIDE BANCSHARES INC,사우스사이드 뱅크셰어스,25514,0.035,ST
DPST,CNOB,778705,CONNECTONE BANCORP INC,커넥트원 뱅크코프,34998,0.034,ST
DPST,HTBK,776784,HERITAGE COMMERCE CORP,헤리티지 커머스,81853,0.034,ST
DPST,AMAL,762443,AMALGAMATED FINANCIAL CORP,애멀거메이티드 뱅크,26529,0.033,ST
DPST,OBK,752010,ORIGIN BANCORP INC,오리진 뱅코프,24648,0.033,ST
DPST,PFC,761707,PREMIER FINANCIAL CORP,프리미어 파이낸셜,32126,0.033,ST
DPST,SRCE,754827,"1ST SOURCE CORP",퍼스트 소스,13132,0.033,ST
DPST,TFSL,771989,TFS FINANCIAL CORP,TFS 파이낸셜,59111,0.033,ST
DPST,FFWM,728854,FIRST FOUNDATION INC,퍼스트 파운데이션,118513,0.032,ST
DPST,PEBO,740987,PEOPLES BANCORP INC,피플스 뱅코프,25008,0.032,ST
DPST,TMP,717808,TOMPKINS FINANCIAL CORP,톰킨스 파이낸셜,12662,0.031,ST
DPST,KRNY,684571,KEARNY FINANCIAL CORP/MD,키어니 파이낸셜,109182,0.03,ST
DPST,MBWM,665472,MERCANTILE BANK CORP,머컨타일 뱅크,15684,0.029,ST
DPST,NIC,638199,NICOLET BANKSHARES INC,니콜렛 뱅크셰어스,7217,0.028,ST
DPST,OSBC,629905,OLD SECOND BANCORP INC,올드 세컨드 뱅크코프,40797,0.027,ST
DPST,PGC,576883,PEAPACK GLADSTONE FINL CORP,피팩 글래드스톤 파이낸셜,22222,0.025,ST
DPST,WASH,577154,WASHINGTON TRUST BANCORP,워싱턴 트러스트 뱅코프,20054,0.025,ST
DPST,CLBK,338164,COLUMBIA FINANCIAL INC,콜롬비아 파이낸셜,20298,0.015,ST
DPST,GSBC,356131,GREAT SOUTHERN BANCORP INC,그레이트 서던 뱅코프,6380,0.015,ST
DPST,MSBI,278605,MIDLAND STATES BANCORP INC,미드랜드 스테이츠 뱅크코프,13248,0.012,ST
DPST,-,333246000,S&P REGIONAL BANKS SELECT INDUSRTY INDEX SWAP,-,200000,14.421,-
DPST,-,303078905,S&P REGIONAL BANKS SELECT INDUSRTY INDEX SWAP,-,181895,13.116,-
DPST,-,293229820,S&P REGIONAL BANKS SELECT INDUSRTY INDEX SWAP,-,175984,12.689,-
DPST,-,273998193,S&P REGIONAL BANKS SELECT INDUSRTY INDEX SWAP,-,164442,11.857,-
GDX,GOR.AX,54720779,Gold Road Resources Ltd,-,48101818,0.405,-
GDX,KNT.TO,52715233,K92 Mining Inc,-,10502114,0.39,-
GDX,SILV,51262161,Silvercrest Metals Inc,실버크레스트 메탈즈,6538541,0.379,ST
GDX,CXB.TO,49560224,Calibre Mining Corp,-,34886586,0.367,-
GDX,BGL.AX,44787413,Bellevue Gold Ltd,-,52048309,0.332,-
GDX,SSRM,40737447,Ssr Mining Inc,SSR 마이닝,8973006,0.302,ST
GDX,WAF.AX,40665722,West African Resources Ltd,-,45634709,0.301,-
GDX,RRL.AX,35714550,Regis Resources Ltd,-,33537964,0.264,-
GDX,DRD,35164113,Drdgold Ltd,디알디골드,3838877,0.26,ST
GDX,EXK,32868047,Endeavour Silver Corp,엔데버 실버,10671444,0.243,ST
GDX,-,260775,Other/Cash,-,0,0.002,-
GDX,NEM,2024692457,Newmont Corp,뉴마운트,42437486,14.986,ST
GDX,AEM,1359490347,Agnico Eagle Mines Ltd,아니코 이글 마인즈,18334327,10.063,ST
GDX,GOLD,1125098564,Barrick Gold Corp,배릭 골드,64623697,8.328,ST
GDX,WPM,931066119,Wheaton Precious Metals Corp,위톤 프레셔스 메탈,16682783,6.892,ST
GDX,FNV,856530612,Franco-Nevada Corp,프랑코 네바다,7072336,6.34,ST
GDX,GFI,615972557,Gold Fields Ltd,골드 플즈,39740165,4.559,ST
GDX,AU,555309917,Anglogold Ashanti Plc,앤지오골드 아샨티,18634561,4.11,ST
GDX,"2899",498323047,Zijin Mining Group Co Ltd,자금광업,254706000,3.688,-
GDX,NST.AX,474619390,Northern Star Resources Ltd,-,51038661,3.513,-
GDX,KGC,462745603,Kinross Gold Corp,킨로스 골드,54569057,3.425,ST
GDX,RGLD,378137055,Royal Gold Inc,로얄 골드,2918625,2.799,ST
GDX,PAAS,307962580,Pan American Silver Corp,팬 아메리카 실버,16115258,2.279,ST
GDX,AGI,307059898,Alamos Gold Inc,알라모스 골드,17667428,2.273,ST
GDX,HMY,266852311,Harmony Gold Mining Co Ltd,하모니 골드 마이닝,28089717,1.975,ST
GDX,EVN.AX,221336717,Evolution Mining Ltd,-,88175360,1.638,-
GDX,EDV.L,213805355,Endeavour Mining Plc,-,10873654,1.583,-
GDX,"1818",205208573,Zhaojin Mining Industry Co Ltd,산동초금광업,121741000,1.519,-
GDX,EGO,146439077,Eldorado Gold Corp,엘도라도 골드,9056220,1.084,ST
GDX,BTG,143295392,B2gold Corp,비투골드,58014329,1.061,ST
GDX,HL,140152541,Hecla Mining Co,허시아 마이닝,27808044,1.037,ST
GDX,OR,134590648,Osisko Gold Royalties Ltd,오시스코 골드 로얄티즈,8257095,0.996,ST
GDX,PRU.AX,98331441,Perseus Mining Ltd,-,60997989,0.728,-
GDX,CDE,96452826,Coeur Mining Inc,코어 마이닝,17730299,0.714,ST
GDX,IAG,94501424,Iamgold Corp,아이엠골드,22079772,0.699,ST
GDX,EQX,85438981,Equinox Gold Corp,이퀴녹스 골드,17156422,0.632,ST
GDX,NGD,76162740,New Gold Inc,뉴 골드,35098037,0.564,ST
GDX,OGC.TO,76151625,Oceanagold Corp,-,31579918,0.564,-
GDX,DPM.TO,72336875,Dundee Precious Metals Inc,-,8059514,0.535,-
GDX,RED.AX,70197595,Red 5 Ltd,-,296320923,0.52,-
GDX,EMR.AX,68975185,Emerald Resources Nl,-,29100032,0.511,-
GDX,GMD.AX,68424336,Genesis Minerals Ltd,-,49815218,0.506,-
GDX,SAND,68103764,Sandstorm Gold Ltd,샌드스톰 골드,13224032,0.504,ST
GDX,AG,65007634,First Majestic Silver Corp,퍼스트 마세스틱 실버,12923983,0.481,ST
GDX,WGX.AX,38188762,Westgold Resources Ltd,-,21029445,0.283,-
GDX,RMS.AX,64614333,Ramelius Resources Ltd,-,50747778,0.478,-
GDX,CMM.AX,64372700,Capricorn Metals Ltd,-,16762689,0.476,-
GDX,"0VOA.L",62922633,Wesdome Gold Mines Ltd/Canada,-,6623524,0.466,-
GDX,CGAU,61714751,Centerra Gold Inc,센테라 골드,9518287,0.457,ST
GDX,"0VL5.L",60065640,Torex Gold Resources Inc,-,3817088,0.445,-
GDX,FSM,58988602,Fortuna Silver Mines Inc,포투나 실버 마인즈,13591844,0.437,ST
GDX,AYA.TO,55957357,Aya Gold & Silver Inc,-,5775178,0.414,-
GDX,MAG,55139551,Mag Silver Corp,맥 실버,4579697,0.408,ST
GPIQ,ZS,359560,Zscaler Inc,Z스케일러,2094,0.205,ST
GPIQ,GFS,334292,GLOBALFOUNDRIES Inc,글로벌 파운드리즈,7541,0.191,ST
GPIQ,TTWO,321136,Take-Two Interactive Software Inc,테이크 투 인터액티브,2314,0.183,ST
GPIQ,TEAM,302562,Atlassian Corp,아틀라시안,2180,0.173,ST
GPIQ,DLTR,285739,Dollar Tree Inc,달러트리,3010,0.163,ST
GPIQ,ILMN,275572,Illumina Inc,일루미나,2175,0.157,ST
