"etf_tck_cd","ediv_dt","ddn_amt","aed_stkp_ddn_amt","ddn_bse_dt","ddn_pym_dt","pba_dt","ddn_pym_fcy_cd"
ABBV,"20230112",1.48,1.48,"20230113","20230215","20221028",Quarterly
ABBV,"20230413",1.48,1.48,"20230414","20230515","20230216",Quarterly
ABBV,"20230713",1.48,1.48,"20230714","20230815","20230622",Quarterly
ABBV,"20240112",1.55,1.55,"20240116","20240215","20231027",Quarterly
ABBV,"20240715",1.55,1.55,"20240715","20240815","20240620",Quarterly
ABBV,"20231012",1.48,1.48,"20231013","20231115","20230908",Quarterly
ABCB,"20230330",0.15,0.15,"20230331","20230410","20230317",Quarterly
ABCB,"20221229",0.15,0.15,"20221231","20230109","20221212",Quarterly
ABCB,"20230629",0.15,0.15,"20230630","20230710","20230605",Quarterly
ABCB,"20240327",0.15,0.15,"20240331","20240408","20240314",Quarterly
ABCB,"20220929",0.15,0.15,"20220930","20221010","20220907",Quarterly
ABCB,"20240628",0.15,0.15,"20240630","20240708","20240606",Quarterly
ABCB,"20231228",0.15,0.15,"20231231","20240108","20231211",Quarterly
ABCB,"20230928",0.15,0.15,"20230930","20231009","20230919",Quarterly
AC,"20221130",0.1,0.1,"20221201","20221215","20221111",SemiAnnual
AC,"20240614",0.1,0.1,"20240614","20240627","20240508",SemiAnnual
AC,"20230614",0.1,0.1,"20230615","20230629","20230510",SemiAnnual
AC,"20231130",0.1,0.1,"20231201","20231214","20231108",SemiAnnual
ACCO,"20230518",0.075,0.075,"20230519","20230609","20230428",Quarterly
ACCO,"20220825",0.075,0.075,"20220826","20220920","20220808",Quarterly
ACCO,"20240516",0.075,0.075,"20240517","20240612","20240426",Quarterly
ACCO,"20231114",0.075,0.075,"20231115","20231206","20231027",Quarterly
ACCO,"20230821",0.075,0.075,"20230822","20230912","20230801",Quarterly
ACCO,"20221123",0.075,0.075,"20221125","20221212","20221107",Quarterly
ACCO,"20240314",0.075,0.075,"20240315","20240327","20240216",Quarterly
ACCO,"20230309",0.075,0.075,"20230310","20230405","20230217",Quarterly
ACM,"20240103",0.22,0.22,"20240104","20240119","20231113",Quarterly
ACM,"20231004",0.18,0.18,"20231005","20231020","20230913",Quarterly
ACM,"20240703",0.22,0.22,"20240703","20240719","20240605",Quarterly
ACM,"20230705",0.18,0.18,"20230706","20230721","20230607",Quarterly
ACM,"20230103",0.18,0.18,"20230104","20230120","20221117",Quarterly
ACM,"20221004",0.15,0.15,"20221005","20221021","20220914",Quarterly
ACM,"20240423",0.22,0.22,"20240424","20240510","20240321",Quarterly
ACM,"20230404",0.18,0.18,"20230405","20230421","20230301",Quarterly
ACN,"20231011",1.29,1.29,"20231012","20231115","20230928",Quarterly
ACN,"20221012",1.12,1.12,"20221013","20221115","20220922",Quarterly
ACN,"20230111",1.12,1.12,"20230112","20230215","20221216",Quarterly
ACN,"20240410",1.29,1.29,"20240411","20240515","20240321",Quarterly
ACN,"20230712",1.12,1.12,"20230713","20230815","20230515",Quarterly
ACN,"20240711",1.29,1.29,"20240711","20240815","20240620",Quarterly
ACN,"20230412",1.12,1.12,"20230413","20230515","20230323",Quarterly
ACN,"20240117",1.29,1.29,"20240118","20240215","20231115",Quarterly
ACNB,"20220831",0.26,0.26,"20220901","20220915","20220721",Quarterly
ACNB,"20230531",0.28,0.28,"20230601","20230615","20230418",Quarterly
ACNB,"20240229",0.3,0.3,"20240301","20240315","20240123",Quarterly
ACNB,"20231130",0.3,0.3,"20231201","20231215","20231019",Quarterly
ACNB,"20230831",0.28,0.28,"20230901","20230915","20230725",Quarterly
ACNB,"20230228",0.28,0.28,"20230301","20230315","20230130",Quarterly
ACNB,"20221130",0.28,0.28,"20221201","20221215","20221024",Quarterly
ACNB,"20240531",0.32,0.32,"20240531","20240614","20240423",Quarterly
ACRE,"20240327",0.25,0.25,"20240328","20240416","20240222",Quarterly
ACRE,"20240628",0.25,0.25,"20240628","20240716","20240509",Quarterly
ACRE,"20220929",0.02,0.02,"20220930","20221017","20220729",Other
ACRE,"20230629",0.33,0.33,"20230630","20230718","20230502",Other
ACRE,"20230330",0.33,0.33,"20230331","20230418","20230215",Other
ACRE,"20231228",0.33,0.33,"20231229","20240117","20231103",Quarterly
ACRE,"20221229",0.33,0.33,"20221230","20230118","20221102",Other
ACRE,"20230928",0.33,0.33,"20230929","20231017","20230802",Quarterly
ACT,"20220825",0.1305,0.1305,"20220826","20220909","20220811",Quarterly
ACT,"20230830",0.156,0.156,"20230831","20230913","20230815",Quarterly
ACT,"20221117",1.26,1.26,"20221118","20221206","20221101",Other
ACT,"20230222",0.1365,0.1365,"20230223","20230309","20230209",Quarterly
ACT,"20240227",0.16,0.16,"20240228","20240313","20240220",Quarterly
ACT,"20230530",0.156,0.156,"20230531","20230614","20230501",Quarterly
ACT,"20231115",0.87,0.87,"20231116","20231205","20231101",Other
ACT,"20240314",0.23,0.23,"20240315","20240405","20240223",Other
ACT,"20240529",0.185,0.185,"20240529","20240613","20240501",Quarterly
ADC,"20220929",0.234,0.234,"20220930","20221014","20220913",Monthly
ADC,"20240228",0.247,0.247,"20240229","20240314","20240208",Monthly
ADC,"20231129",0.247,0.247,"20231130","20231214","20231109",Monthly
ADC,"20230530",0.243,0.243,"20230531","20230614","20230511",Monthly
ADC,"20230227",0.24,0.24,"20230228","20230314","20230213",Monthly
ADC,"20230830",0.243,0.243,"20230831","20230914","20230810",Monthly
ADC,"20231228",0.247,0.247,"20231229","20240116","20231212",Monthly
ADC,"20230629",0.243,0.243,"20230630","20230714","20230614",Monthly
ADC,"20240130",0.247,0.247,"20240131","20240214","20240111",Monthly
ADC,"20230728",0.243,0.243,"20230731","20230814","20230717",Monthly
ADC,"20230928",0.243,0.243,"20230929","20231013","20230912",Monthly
ADC,"20230330",0.24,0.24,"20230331","20230414","20230313",Monthly
ADC,"20240731",0.25,0.25,"20240731","20240814","20240711",Monthly
ADC,"20221229",0.24,0.24,"20221230","20230113","20221213",Monthly
ADC,"20221129",0.24,0.24,"20221130","20221214","20221114",Monthly
ADC,"20240327",0.247,0.247,"20240328","20240412","20240312",Monthly
ADC,"20240628",0.25,0.25,"20240628","20240715","20240611",Monthly
ADC,"20221028",0.24,0.24,"20221031","20221114","20221013",Monthly
ADC,"20240429",0.25,0.25,"20240430","20240514","20240408",Monthly
ADC,"20230130",0.24,0.24,"20230131","20230214","20230112",Monthly
ADC,"20220830",0.234,0.234,"20220831","20220914","20220811",Monthly
ADC,"20240531",0.25,0.25,"20240531","20240614","20240514",Monthly
ADC,"20230427",0.243,0.243,"20230428","20230512","20230413",Monthly
ADC,"20231030",0.247,0.247,"20231031","20231114","20231012",Monthly
ADEA,"20230314",0.05,0.05,"20230315","20230329","20230222",Quarterly
ADEA,"20220826",0.189,0.05,"20220829","20220919","20220729",Quarterly
ADEA,"20240528",0.05,0.05,"20240528","20240618","20240425",Quarterly
ADEA,"20221129",0.05,0.05,"20221130","20221221","20221109",Quarterly
ADEA,"20230526",0.05,0.05,"20230530","20230620","20230504",Quarterly
ADEA,"20240311",0.05,0.05,"20240312","20240326","20240208",Quarterly
ADEA,"20230825",0.05,0.05,"20230828","20230918","20230807",Quarterly
ADEA,"20231124",0.05,0.05,"20231127","20231218","20231106",Quarterly
ADM,"20230208",0.45,0.45,"20230209","20230302","20230126",Quarterly
ADM,"20220816",0.4,0.4,"20220817","20220907","20220803",Quarterly
ADM,"20231114",0.45,0.45,"20231115","20231206","20231101",Quarterly
ADM,"20230516",0.45,0.45,"20230517","20230607","20230504",Quarterly
ADM,"20240515",0.5,0.5,"20240516","20240605","20240501",Quarterly
ADM,"20221115",0.4,0.4,"20221116","20221207","20221102",Quarterly
ADM,"20240207",0.5,0.5,"20240208","20240229","20240125",Quarterly
ADM,"20230815",0.45,0.45,"20230816","20230906","20230802",Quarterly
ADP,"20231207",1.4,1.4,"20231208","20240101","20231108",Quarterly
ADP,"20221208",1.25,1.25,"20221209","20230101","20221109",Quarterly
ADP,"20240614",1.4,1.4,"20240614","20240701","20240403",Quarterly
ADP,"20230608",1.25,1.25,"20230609","20230701","20230412",Quarterly
ADP,"20240307",1.4,1.4,"20240308","20240401","20240110",Quarterly
ADP,"20230309",1.25,1.25,"20230310","20230401","20230111",Quarterly
ADP,"20220908",1.04,1.04,"20220909","20221001","20220803",Quarterly
ADP,"20230907",1.25,1.25,"20230908","20231001","20230803",Quarterly
ADT,"20240613",0.055,0.055,"20240613","20240709","20240425",Quarterly
ADT,"20230614",0.035,0.035,"20230615","20230706","20230502",Quarterly
ADT,"20220914",0.035,0.035,"20220915","20221004","20220804",Quarterly
ADT,"20230315",0.035,0.035,"20230316","20230404","20230228",Quarterly
ADT,"20231213",0.035,0.035,"20231214","20240109","20231102",Quarterly
ADT,"20240313",0.055,0.055,"20240314","20240404","20240124",Quarterly
ADT,"20221214",0.035,0.035,"20221215","20230104","20221103",Quarterly
ADT,"20230914",0.035,0.035,"20230915","20231004","20230808",Quarterly
AEP,"20240509",0.88,0.88,"20240510","20240610","20240423",Quarterly
AEP,"20230809",0.83,0.83,"20230810","20230908","20230718",Quarterly
AEP,"20230209",0.83,0.83,"20230210","20230310","20230124",Quarterly
AEP,"20230509",0.83,0.83,"20230510","20230609","20230425",Quarterly
AEP,"20240208",0.88,0.88,"20240209","20240308","20240119",Quarterly
AEP,"20221109",0.83,0.83,"20221110","20221209","20221025",Quarterly
AEP,"20231109",0.88,0.88,"20231110","20231208","20231024",Quarterly
AEP,"20220809",0.78,0.78,"20220810","20220909","20220719",Quarterly
AER,"20240521",0.25,0.25,"20240522","20240613","20240508",Quarterly
AES,"20221031",0.158,0.158,"20221101","20221115","20221007",Quarterly
AES,"20240430",0.1725,0.1725,"20240501","20240515","20240223",Quarterly
AES,"20230131",0.1659,0.1659,"20230201","20230215","20221202",Quarterly
AES,"20240131",0.1725,0.1725,"20240201","20240215","20231208",Quarterly
AES,"20231031",0.1659,0.1659,"20231101","20231115","20231006",Quarterly
AES,"20240801",0.1725,0.1725,"20240801","20240815","20240712",Quarterly
AES,"20230731",0.1659,0.1659,"20230801","20230815","20230714",Quarterly
AES,"20230428",0.1659,0.1659,"20230501","20230515","20230224",Quarterly
AFCG,"20220929",0.54612,0.3738,"20220930","20221014","20220915",Quarterly
AFCG,"20221229",0.54612,0.3738,"20221231","20230113","20221215",Quarterly
AFCG,"20240708",0.14815,0.1014,"20240708","20240715","20240627",Other
AFCG,"20230330",0.54612,0.3738,"20230331","20230414","20230302",Quarterly
AFCG,"20240624",0.4681,0.3204,"20240624","20240715","20240613",Quarterly
AFCG,"20231228",0.4681,0.3204,"20231231","20240112","20231215",Quarterly
AFCG,"20230928",0.4681,0.3204,"20230930","20231013","20230915",Quarterly
AFCG,"20230929",0.70128,0.48,"20230930","20231013","20230915",Quarterly
AFCG,"20240327",0.4681,0.3204,"20240331","20240415","20240304",Quarterly
AFCG,"20230629",0.4681,0.3204,"20230630","20230714","20230615",Quarterly
AGCO,"20221114",0.24,0.24,"20221115","20221215","20221027",Quarterly
AGCO,"20240214",0.2835,0.2835,"20240215","20240315","20240118",Quarterly
AGCO,"20240517",2.5,2.5,"20240520","20240620","20240425",Other
AGCO,"20230814",0.2835,0.2835,"20230815","20230915","20230712",Quarterly
AGCO,"20230518",5.0,5.0,"20230519","20230620","20230427",Other
AGCO,"20240514",0.2835,0.2835,"20240515","20240614","20240425",Quarterly
AGCO,"20220812",0.24,0.24,"20220815","20220915","20220713",Quarterly
AGCO,"20230214",0.24,0.24,"20230215","20230315","20230120",Quarterly
AGCO,"20231114",0.2835,0.2835,"20231115","20231215","20231026",Quarterly
AGCO,"20230512",0.29,0.29,"20230515","20230615","20230427",Quarterly
AGI,"20220914",0.025,0.025,"20220915","20220929","20220830",Quarterly
AGI,"20230614",0.025,0.025,"20230615","20230629","20230605",Quarterly
AGI,"20230913",0.025,0.025,"20230914","20230928","20230831",Quarterly
AGI,"20240613",0.025,0.025,"20240613","20240627","20240530",Quarterly
AGI,"20230315",0.025,0.025,"20230316","20230330","20230302",Quarterly
AGI,"20231205",0.025,0.025,"20231206","20231220","20231122",Quarterly
AGI,"20221205",0.025,0.025,"20221206","20221220","20221122",Quarterly
AGI,"20240313",0.025,0.025,"20240314","20240328","20240228",Quarterly
AGM,"20231214",1.1,1.1,"20231215","20231229","20231108",Quarterly
AGM,"20221214",0.95,0.95,"20221215","20221230","20221109",Quarterly
AGM,"20230315",1.1,1.1,"20230316","20230331","20230222",Quarterly
AGM,"20230615",1.1,1.1,"20230616","20230630","20230503",Quarterly
AGM,"20240314",1.4,1.4,"20240315","20240328","20240221",Quarterly
AGM,"20240614",1.4,1.4,"20240614","20240628","20240515",Quarterly
AGM,"20230914",1.1,1.1,"20230915","20230929","20230809",Quarterly
AGM,"20220914",0.95,0.95,"20220915","20220930","20220810",Quarterly
AGNC,"20230530",0.12,0.12,"20230531","20230609","20230510",Monthly
AGNC,"20220929",0.12,0.12,"20220930","20221012","20220914",Monthly
AGNC,"20230130",0.12,0.12,"20230131","20230209","20230111",Monthly
AGNC,"20240228",0.12,0.12,"20240229","20240311","20240208",Monthly
AGNC,"20230928",0.12,0.12,"20230929","20231011","20230913",Monthly
AGNC,"20221129",0.12,0.12,"20221130","20221209","20221110",Monthly
AGNC,"20231228",0.12,0.12,"20231229","20240110","20231213",Monthly
AGNC,"20231129",0.12,0.12,"20231130","20231211","20231108",Monthly
AGNC,"20230629",0.12,0.12,"20230630","20230712","20230612",Monthly
AGNC,"20240327",0.12,0.12,"20240329","20240409","20240313",Monthly
AGNC,"20230830",0.12,0.12,"20230831","20230912","20230809",Monthly
AGNC,"20221229",0.12,0.12,"20221230","20230111","20221209",Monthly
AGNC,"20240531",0.12,0.12,"20240531","20240611","20240508",Monthly
AGNC,"20230330",0.12,0.12,"20230331","20230411","20230310",Monthly
AGNC,"20220830",0.12,0.12,"20220831","20220912","20220811",Monthly
AGNC,"20230728",0.12,0.12,"20230731","20230809","20230712",Monthly
AGNC,"20240628",0.12,0.12,"20240628","20240710","20240613",Monthly
AGNC,"20240130",0.12,0.12,"20240131","20240209","20240110",Monthly
AGNC,"20221028",0.12,0.12,"20221031","20221109","20221010",Monthly
AGNC,"20231030",0.12,0.12,"20231031","20231109","20231011",Monthly
AGNC,"20240731",0.12,0.12,"20240731","20240809","20240710",Monthly
AGNC,"20230227",0.12,0.12,"20230228","20230309","20230208",Monthly
AGNC,"20230427",0.12,0.12,"20230428","20230509","20230412",Monthly
AGNC,"20240429",0.12,0.12,"20240430","20240509","20240410",Monthly
AGO,"20230815",0.28,0.28,"20230816","20230830","20230802",Quarterly
AGO,"20230307",0.28,0.28,"20230308","20230322","20230222",Quarterly
AGO,"20240305",0.31,0.31,"20240306","20240320","20240221",Quarterly
AGO,"20240514",0.31,0.31,"20240515","20240529","20240502",Quarterly
AGO,"20220816",0.25,0.25,"20220817","20220831","20220803",Quarterly
AGO,"20231114",0.28,0.28,"20231115","20231129","20231101",Quarterly
AGO,"20230516",0.28,0.28,"20230517","20230531","20230503",Quarterly
AGO,"20221115",0.25,0.25,"20221116","20221130","20221102",Quarterly
AGX,"20240122",0.3,0.3,"20240123","20240131","20231214",Quarterly
AGX,"20230419",0.25,0.25,"20230420","20230428","20230412",Quarterly
AGX,"20221020",0.25,0.25,"20221021","20221031","20220908",Quarterly
AGX,"20240419",0.3,0.3,"20240422","20240430","20240410",Quarterly
AGX,"20231020",0.3,0.3,"20231023","20231031","20230919",Quarterly
AGX,"20240723",0.3,0.3,"20240723","20240731","20240620",Quarterly
AGX,"20230119",0.25,0.25,"20230120","20230131","20221214",Quarterly
AGX,"20230720",0.25,0.25,"20230721","20230731","20230620",Quarterly
AIN,"20220902",0.21,0.21,"20220906","20221007","20220825",Quarterly
AIN,"20221223",0.25,0.25,"20221227","20230109","20221209",Quarterly
AIN,"20240314",0.26,0.26,"20240315","20240405","20240223",Quarterly
AIN,"20230901",0.25,0.25,"20230905","20231006","20230824",Quarterly
AIN,"20240607",0.26,0.26,"20240607","20240708","20240510",Quarterly
AIN,"20230316",0.25,0.25,"20230317","20230410","20230224",Quarterly
AIN,"20231218",0.26,0.26,"20231219","20240108","20231208",Quarterly
AIN,"20230606",0.25,0.25,"20230607","20230710","20230512",Quarterly
AIRS,"20220825",0.41,0.41,"20220826","20220914","20220812",Other
AIV,"20220913",0.01071,0.01071,"20220914","20220930","20220728",Other
AIYY,"20240606",0.875,0.875,"20240606","20240607","20231214",Monthly
AIYY,"20240105",1.3487,1.3487,"20240108","20240109","20231214",Monthly
AIYY,"20240207",0.402,0.402,"20240208","20240209","20231214",Monthly
AIYY,"20240705",0.3972,0.3972,"20240705","20240708","20231214",Monthly
AIYY,"20240306",1.0627,1.0627,"20240307","20240308","20231214",Monthly
AIYY,"20240506",0.4075,0.4075,"20240507","20240508","20231214",Monthly
AIYY,"20240807",0.357,0.357,"20240807","20240808","20231214",Monthly
AIYY,"20240404",0.7253,0.7253,"20240405","20240408","20231214",Monthly
AJG,"20240607",0.6,0.6,"20240607","20240621","20240424",Quarterly
AJG,"20240229",0.6,0.6,"20240301","20240315","20240124",Quarterly
AJG,"20221201",0.51,0.51,"20221202","20221216","20221026",Quarterly
AJG,"20231130",0.55,0.55,"20231201","20231215","20231025",Quarterly
AJG,"20230302",0.55,0.55,"20230303","20230317","20230125",Quarterly
AJG,"20230601",0.55,0.55,"20230602","20230616","20230426",Quarterly
AJG,"20220901",0.51,0.51,"20220902","20220916","20220727",Quarterly
AJG,"20230831",0.55,0.55,"20230901","20230915","20230726",Quarterly
ALC,"20230510",0.2357,0.2357,"20230511","20230512","20230302",Annual
ALC,"20240514",0.2647,0.2647,"20240515","20240516","20240228",Annual
ALC,"20240510",0.2727,0.2727,"20240513","20240514","20240228",Annual
ALEX,"20230316",0.22,0.22,"20230317","20230404","20230228",Quarterly
ALEX,"20221222",0.22,0.22,"20221223","20230106","20221212",Quarterly
ALEX,"20230915",0.22,0.22,"20230918","20231004","20230725",Quarterly
ALEX,"20240614",0.2225,0.2225,"20240614","20240708","20240424",Quarterly
ALEX,"20240314",0.2225,0.2225,"20240315","20240405","20240228",Quarterly
ALEX,"20231221",0.2225,0.2225,"20231222","20240108","20231211",Quarterly
ALEX,"20220916",0.22,0.22,"20220919","20221005","20220727",Quarterly
ALEX,"20230615",0.22,0.22,"20230616","20230705","20230425",Quarterly
ALG,"20230117",0.22,0.22,"20230118","20230201","20230103",Quarterly
ALG,"20221017",0.18,0.18,"20221018","20221101","20221003",Quarterly
ALG,"20231013",0.22,0.22,"20231016","20231031","20231002",Quarterly
ALG,"20230414",0.22,0.22,"20230417","20230501","20230403",Quarterly
ALG,"20240112",0.26,0.26,"20240116","20240129","20240102",Quarterly
ALG,"20230717",0.22,0.22,"20230718","20230801","20230703",Quarterly
ALG,"20240415",0.26,0.26,"20240416","20240429","20240401",Quarterly
ALG,"20240716",0.26,0.26,"20240716","20240729","20240701",Quarterly
ALGT,"20230814",0.6,0.6,"20230815","20230901","20230802",Quarterly
ALGT,"20240214",0.6,0.6,"20240215","20240301","20240205",Quarterly
ALGT,"20231114",0.6,0.6,"20231115","20231201","20231107",Quarterly
ALGT,"20240514",0.6,0.6,"20240515","20240603","20240507",Quarterly
ALRS,"20231226",0.19,0.19,"20231227","20240112","20231214",Quarterly
ALRS,"20230614",0.19,0.19,"20230615","20230714","20230510",Quarterly
ALRS,"20221222",0.18,0.18,"20221223","20230113","20221103",Quarterly
ALRS,"20230914",0.19,0.19,"20230915","20231013","20230824",Quarterly
ALRS,"20220929",0.18,0.18,"20220930","20221014","20220913",Quarterly
ALRS,"20240314",0.19,0.19,"20240315","20240412","20240227",Quarterly
ALRS,"20230314",0.18,0.18,"20230315","20230414","20230221",Quarterly
ALRS,"20240614",0.2,0.2,"20240614","20240715","20240521",Quarterly
ALSN,"20240517",0.25,0.25,"20240520","20240531","20240508",Quarterly
ALSN,"20220819",0.21,0.21,"20220822","20220831","20220808",Quarterly
ALSN,"20230512",0.23,0.23,"20230515","20230531","20230503",Quarterly
ALSN,"20231110",0.23,0.23,"20231113","20231130","20231102",Quarterly
ALSN,"20230303",0.23,0.23,"20230306","20230317","20230223",Quarterly
ALSN,"20230811",0.23,0.23,"20230814","20230831","20230803",Quarterly
ALSN,"20240301",0.25,0.25,"20240304","20240315","20240221",Quarterly
ALSN,"20221118",0.21,0.21,"20221121","20221130","20221107",Quarterly
AMAL,"20220809",0.1,0.1,"20220810","20220829","20220727",Quarterly
AMAL,"20221108",0.1,0.1,"20221109","20221128","20221026",Quarterly
AMAL,"20230203",0.1,0.1,"20230206","20230220","20230124",Quarterly
AMAL,"20240205",0.1,0.1,"20240206","20240223","20240123",Quarterly
AMAL,"20230509",0.1,0.1,"20230510","20230524","20230425",Quarterly
AMAL,"20231106",0.1,0.1,"20231107","20231124","20231024",Quarterly
AMAL,"20240507",0.12,0.12,"20240508","20240522","20240423",Quarterly
AMAL,"20240806",0.12,0.12,"20240806","20240822","20240723",Quarterly
AMAL,"20230804",0.1,0.1,"20230807","20230822","20230725",Quarterly
AMCR,"20240227",0.125,0.125,"20240228","20240319","20240206",Quarterly
AMCR,"20230523",0.1225,0.1225,"20230524","20230620","20230502",Quarterly
AMCR,"20230228",0.1225,0.1225,"20230301","20230321","20230207",Quarterly
AMCR,"20230906",0.1225,0.1225,"20230907","20230927","20230816",Quarterly
AMCR,"20220907",0.12,0.12,"20220908","20220928","20220817",Quarterly
AMCR,"20221122",0.1225,0.1225,"20221123","20221213","20221101",Quarterly
AMCR,"20231121",0.125,0.125,"20231122","20231212","20231031",Quarterly
AMCR,"20240521",0.125,0.125,"20240522","20240611","20240430",Quarterly
AMDY,"20240705",0.7347,0.7347,"20240705","20240708","20231214",Monthly
AMDY,"20240207",1.6743,1.6743,"20240208","20240209","20231214",Monthly
AMDY,"20231108",1.1181,1.1181,"20231109","20231116","20231107",Other
AMDY,"20231207",0.4428,0.4428,"20231208","20231213","20231206",Monthly
AMDY,"20240807",0.4306,0.4306,"20240807","20240808","20231214",Monthly
AMDY,"20240606",0.9008,0.9008,"20240606","20240607","20231214",Monthly
AMDY,"20240105",1.4105,1.4105,"20240108","20240109","20231214",Monthly
AMDY,"20240404",1.113,1.113,"20240405","20240408","20231214",Monthly
AMDY,"20240306",1.3743,1.3743,"20240307","20240308","20231214",Monthly
AMDY,"20240506",0.5115,0.5115,"20240507","20240508","20231214",Monthly
AMG,"20221116",0.01,0.01,"20221117","20221201","20221107",Quarterly
AMG,"20230215",0.01,0.01,"20230216","20230302","20230206",Quarterly
AMG,"20240808",0.01,0.01,"20240808","20240822","20240729",Quarterly
AMG,"20231115",0.01,0.01,"20231116","20231130","20231106",Quarterly
AMG,"20230510",0.01,0.01,"20230511","20230525","20230501",Quarterly
AMG,"20240214",0.01,0.01,"20240215","20240229","20240205",Quarterly
AMG,"20230804",0.01,0.01,"20230807","20230821","20230726",Quarterly
AMG,"20240515",0.01,0.01,"20240516","20240530","20240506",Quarterly
AMGN,"20230817",2.13,2.13,"20230818","20230908","20230801",Quarterly
AMGN,"20231116",2.13,2.13,"20231117","20231208","20231024",Quarterly
AMGN,"20230517",2.13,2.13,"20230518","20230608","20230307",Quarterly
AMGN,"20240215",2.25,2.25,"20240216","20240307","20231212",Quarterly
AMGN,"20230214",2.13,2.13,"20230215","20230308","20221212",Quarterly
AMGN,"20220817",1.94,1.94,"20220818","20220908","20220803",Quarterly
AMGN,"20240516",2.25,2.25,"20240517","20240607","20240306",Quarterly
AMGN,"20221116",1.94,1.94,"20221117","20221208","20221028",Quarterly
AMH,"20230914",0.22,0.22,"20230915","20230929","20230801",Quarterly
AMH,"20230614",0.22,0.22,"20230615","20230630","20230509",Quarterly
AMH,"20240614",0.26,0.26,"20240614","20240628","20240509",Quarterly
AMH,"20221214",0.18,0.18,"20221215","20221230","20221110",Quarterly
AMH,"20220914",0.18,0.18,"20220915","20220930","20220803",Quarterly
AMH,"20230314",0.22,0.22,"20230315","20230331","20230210",Quarterly
AMH,"20240314",0.26,0.26,"20240315","20240328","20240221",Quarterly
AMH,"20231214",0.22,0.22,"20231215","20231229","20231030",Quarterly
AMKR,"20230227",0.075,0.075,"20230228","20230320","20230207",Quarterly
AMKR,"20230605",0.075,0.075,"20230606","20230626","20230516",Quarterly
AMKR,"20230901",0.075,0.075,"20230905","20230925","20230815",Quarterly
AMKR,"20231204",0.07875,0.07875,"20231205","20231226","20231114",Quarterly
AMKR,"20240311",0.07875,0.07875,"20240312","20240401","20240220",Quarterly
