"bse_dt","tck_iem_cd","ifw_ofw_dit_cd","ifw_ofw_tck_cd","ifw_ofw_amt_wht_rt","ifw_ofw_rnk"
"20240530",AAL         ,"01",WULF        ,98.39,1
"20240530",AAL         ,"01",TQQQ        ,1.57,2
"20240530",AAL         ,"01",CRKN        ,0.04,3
"20240531",AAL         ,"01",CVS         ,94.98,1
"20240531",AAL         ,"01",TMF         ,3.37,2
"20240531",AAL         ,"01",LABU        ,0.82,3
"20240531",AAL         ,"01",MNST        ,0.72,4
"20240531",AAL         ,"01",TNA         ,0.10,5
"20240819",AAL         ,"01",SOXL        ,100.00,1
"20240607",AAL         ,"01",SQQQ        ,90.62,1
"20240607",AAL         ,"01",UPST        ,7.88,2
"20240710",AAL         ,"01",MDB         ,100.00,1
"20240607",AAL         ,"01",COIN        ,1.50,3
"20240809",AAL         ,"01",CVX         ,100.00,1
"20240610",AAL         ,"01",CHPT        ,76.72,1
"20240610",AAL         ,"01",DOCU        ,23.28,2
"20240808",AAL         ,"01",UAA         ,100.00,1
"20240612",AAL         ,"01",MSTY        ,100.00,1
"20240801",AAL         ,"01",TMF         ,5.60,3
"20240801",AAL         ,"01",KAVL        ,20.33,2
"20240801",AAL         ,"01",MLGO        ,74.07,1
"20240614",AAL         ,"01",SNGX        ,80.94,1
"20240614",AAL         ,"01",NFLX        ,19.06,2
"20240617",AAL         ,"01",YINN        ,63.99,1
"20240617",AAL         ,"01",ETHU        ,20.59,2
"20240617",AAL         ,"01",CONL        ,15.42,3
"20240729",AAL         ,"01",LPSN        ,100.00,1
"20240725",AAL         ,"01",PYPL        ,1.75,2
"20240725",AAL         ,"01",VZ          ,98.25,1
"20240719",AAL         ,"01",NVDA        ,100.00,1
"20240717",AAL         ,"01",PLTR        ,22.25,3
"20240717",AAL         ,"01",COHR        ,34.25,2
"20240717",AAL         ,"01",SQ          ,43.50,1
"20240701",AAL         ,"01",TSLA        ,87.85,1
"20240701",AAL         ,"01",NVDL        ,5.06,2
"20240701",AAL         ,"01",TSLL        ,4.41,3
"20240806",AAOI        ,"02",RKT         ,52.05,1
"20240806",AAOI        ,"02",RARE        ,47.95,2
"20240802",AAOI        ,"01",ROIC        ,57.90,1
"20240802",AAOI        ,"01",SVC         ,16.47,2
"20240802",AAOI        ,"01",EB          ,4.73,5
"20240802",AAOI        ,"01",EDIT        ,5.24,4
"20240802",AAOI        ,"01",OIS         ,5.54,3
"20240621",AAON        ,"02",MU          ,62.95,1
"20240621",AAON        ,"02",AES         ,37.05,2
"20240709",AAON        ,"02",META        ,100.00,1
"20240625",AAON        ,"01",GE          ,63.67,1
"20240625",AAON        ,"01",ANET        ,36.33,2
"20240624",AAON        ,"01",AMD         ,100.00,1
"20240712",AAP         ,"02",KO          ,13.79,3
"20240712",AAP         ,"02",AAPU        ,12.98,4
"20240712",AAP         ,"02",LLY         ,29.17,1
"20240712",AAP         ,"02",TSM         ,17.28,2
"20240712",AAP         ,"02",C           ,12.31,5
"20240605",AAP         ,"01",MVST        ,62.17,1
"20240605",AAP         ,"01",ARCC        ,37.83,2
"20240627",AAPB        ,"02",PLTR        ,32.31,1
"20240627",AAPB        ,"02",ORCL        ,16.85,3
"20240627",AAPB        ,"02",AI          ,16.84,4
"20240627",AAPB        ,"02",CIFR        ,15.39,5
"20240612",AAPB        ,"02",SOXX        ,57.22,1
"20240705",AAPB        ,"02",INDA        ,100.00,1
"20240624",AAPB        ,"02",TQQQ        ,100.00,1
"20240531",AAPB        ,"02",TSLL        ,100.00,1
"20240612",AAPB        ,"02",NVDU        ,18.35,3
"20240612",AAPB        ,"02",OXY         ,24.43,2
"20240607",AAPB        ,"02",SOXS        ,98.55,1
"20240701",AAPB        ,"02",TSLA        ,88.54,1
"20240626",AAPB        ,"02",NVDL        ,11.40,2
"20240802",AAPB        ,"02",NVDA        ,14.04,2
"20240626",AAPB        ,"02",GME         ,0.78,3
"20240708",AAPB        ,"02",NVDL        ,100.00,1
"20240701",AAPB        ,"02",QQQM        ,8.82,2
"20240611",AAPB        ,"02",SPLG        ,0.31,5
"20240614",AAPB        ,"02",NVDL        ,100.00,1
"20240611",AAPB        ,"02",QQQM        ,0.95,4
"20240611",AAPB        ,"02",TMF         ,10.82,3
"20240701",AAPB        ,"02",TSLT        ,2.64,3
"20240819",AAPB        ,"02",HRZN        ,100.00,1
"20240710",AAPB        ,"02",LCID        ,100.00,1
"20240626",AAPB        ,"02",NVDQ        ,87.82,1
"20240723",AAPB        ,"02",SMR         ,100.00,1
"20240627",AAPB        ,"02",MSFU        ,18.61,2
"20240729",AAPB        ,"02",TQQQ        ,100.00,1
"20240621",AAPB        ,"02",SSO         ,100.00,1
"20240607",AAPB        ,"02",CONL        ,1.45,2
"20240802",AAPB        ,"02",NVDL        ,85.96,1
"20240611",AAPB        ,"02",BITX        ,23.70,2
"20240611",AAPB        ,"02",NVDL        ,63.90,1
"20240715",AAPB        ,"02",TSDD        ,17.19,3
"20240619",AAPB        ,"02",AMZN        ,43.20,1
"20240619",AAPB        ,"02",GOOGL       ,41.38,2
"20240715",AAPB        ,"02",WELL        ,9.97,4
"20240619",AAPB        ,"02",SOXL        ,15.42,3
"20240603",AAPB        ,"02",SMFL        ,100.00,1
"20240625",AAPB        ,"02",PLTR        ,3.07,2
"20240726",AAPB        ,"02",TSLA        ,100.00,1
"20240807",AAPB        ,"02",TSLL        ,100.00,1
"20240715",AAPB        ,"02",NVDA        ,37.12,1
"20240712",AAPB        ,"02",TSM         ,100.00,1
"20240711",AAPB        ,"02",LABU        ,100.00,1
"20240613",AAPB        ,"02",AAPU        ,100.00,1
"20240715",AAPB        ,"02",SOXL        ,24.48,2
"20240715",AAPB        ,"02",NVDL        ,7.21,5
"20240709",AAPB        ,"02",ITUB        ,100.00,1
"20240625",AAPB        ,"02",BNKU        ,96.93,1
"20240723",AAPB        ,"01",COIN        ,31.98,1
"20240617",AAPB        ,"01",TSLA        ,29.87,2
"20240724",AAPB        ,"01",INTC        ,100.00,1
"20240723",AAPB        ,"01",TSLL        ,25.72,2
"20240723",AAPB        ,"01",NVDL        ,19.25,4
"20240802",AAPB        ,"01",CONL        ,100.00,1
"20240701",AAPB        ,"01",NVDL        ,99.69,1
"20240701",AAPB        ,"01",FFIE        ,0.31,2
"20240717",AAPB        ,"01",BNKU        ,100.00,1
"20240729",AAPB        ,"01",PLTR        ,100.00,1
"20240710",AAPB        ,"01",QQQ         ,100.00,1
"20240723",AAPB        ,"01",PLTR        ,23.05,3
"20240617",AAPB        ,"01",AAPL        ,70.13,1
"20240709",AAPB        ,"01",NVDL        ,18.54,2
"20240716",AAPB        ,"01",NNE         ,67.59,1
"20240716",AAPB        ,"01",DFEN        ,32.41,2
"20240709",AAPB        ,"01",AVGO        ,79.12,1
"20240613",AAPB        ,"01",CONY        ,19.17,2
"20240613",AAPB        ,"01",TSLL        ,9.25,3
"20240613",AAPB        ,"01",CONL        ,8.01,4
"20240613",AAPB        ,"01",COIN        ,5.37,5
"20240529",AAPB        ,"01",SOXQ        ,100.00,1
"20240718",AAPB        ,"01",PLTR        ,41.13,2
"20240718",AAPB        ,"01",TSLT        ,58.87,1
"20240613",AAPB        ,"01",TSLA        ,58.19,1
"20240712",AAPB        ,"01",TSLA        ,100.00,1
"20240709",AAPB        ,"01",NKE         ,1.17,4
"20240709",AAPB        ,"01",SBUX        ,1.18,3
"20240715",AAPL        ,"02",BITO        ,20.76,1
"20240718",AAPL        ,"02",META        ,39.11,1
"20240820",AAPL        ,"02",PLUG        ,28.81,1
"20240820",AAPL        ,"02",GOOG        ,24.59,2
"20240820",AAPL        ,"02",CSCO        ,15.81,3
"20240820",AAPL        ,"02",NVDA        ,8.59,4
"20240820",AAPL        ,"02",BITX        ,8.49,5
"20240605",AAPL        ,"02",IWF         ,11.29,5
"20240605",AAPL        ,"02",TSLL        ,12.05,4
"20240605",AAPL        ,"02",INTC        ,12.77,3
"20240605",AAPL        ,"02",MSFT        ,13.60,2
"20240605",AAPL        ,"02",MU          ,20.70,1
"20240816",AAPL        ,"02",CVX         ,1.92,5
"20240816",AAPL        ,"02",SBUX        ,4.13,4
"20240816",AAPL        ,"02",OXY         ,9.82,3
"20240816",AAPL        ,"02",BAC         ,34.00,2
"20240816",AAPL        ,"02",SOXL        ,46.25,1
"20240813",AAPL        ,"02",NVDY        ,6.11,5
"20240813",AAPL        ,"02",VOO         ,6.28,4
"20240813",AAPL        ,"02",LLY         ,11.33,3
"20240813",AAPL        ,"02",QQQ         ,17.34,2
"20240813",AAPL        ,"02",TMF         ,46.09,1
"20240812",AAPL        ,"02",MNST        ,0.45,3
"20240812",AAPL        ,"02",ELF         ,14.77,2
"20240812",AAPL        ,"02",TSM         ,84.79,1
"20240613",AAPL        ,"02",PM          ,24.69,1
"20240613",AAPL        ,"02",DOW         ,24.48,2
"20240613",AAPL        ,"02",SBUX        ,24.34,3
"20240613",AAPL        ,"02",NVDA        ,13.33,4
"20240613",AAPL        ,"02",TSLA        ,4.30,5
"20240821",AAPL        ,"02",NVDA        ,42.82,1
"20240821",AAPL        ,"02",PFE         ,22.69,2
"20240821",AAPL        ,"02",OXY         ,16.38,3
"20240821",AAPL        ,"02",XOM         ,12.85,4
"20240821",AAPL        ,"02",PLTR        ,4.35,5
"20240807",AAPL        ,"02",COST        ,4.49,5
"20240807",AAPL        ,"02",ELF         ,5.56,4
"20240807",AAPL        ,"02",NVDA        ,9.46,3
"20240807",AAPL        ,"02",ARM         ,21.83,2
"20240807",AAPL        ,"02",SQQQ        ,28.86,1
"20240618",AAPL        ,"02",MSFT        ,41.51,1
"20240618",AAPL        ,"02",NVDA        ,22.07,2
"20240618",AAPL        ,"02",TMF         ,5.81,3
"20240618",AAPL        ,"02",PEP         ,4.92,4
"20240618",AAPL        ,"02",KO          ,4.17,5
"20240604",AAPL        ,"02",WMT         ,5.44,5
"20240604",AAPL        ,"02",INTC        ,5.63,4
"20240604",AAPL        ,"02",AMGN        ,6.35,3
"20240604",AAPL        ,"02",BITO        ,29.17,2
"20240604",AAPL        ,"02",NVDA        ,47.49,1
"20240806",AAPL        ,"02",NVDA        ,10.55,5
"20240806",AAPL        ,"02",NVDL        ,14.65,4
"20240806",AAPL        ,"02",MSFT        ,15.03,3
"20240806",AAPL        ,"02",ARM         ,16.81,2
"20240806",AAPL        ,"02",META        ,23.89,1
"20240716",AAPL        ,"02",SOFI        ,4.52,5
"20240716",AAPL        ,"02",TSLL        ,9.31,4
"20240716",AAPL        ,"02",ASML        ,11.35,3
"20240716",AAPL        ,"02",IWM         ,25.03,2
"20240716",AAPL        ,"02",TSLA        ,29.93,1
"20240619",AAPL        ,"02",HPE         ,37.73,1
"20240619",AAPL        ,"02",AVGO        ,30.16,2
"20240619",AAPL        ,"02",SMCI        ,7.70,3
"20240619",AAPL        ,"02",ADBE        ,4.37,4
"20240619",AAPL        ,"02",LMT         ,3.85,5
"20240822",AAPL        ,"02",SHY         ,47.47,1
"20240822",AAPL        ,"02",AMZN        ,17.57,2
"20240822",AAPL        ,"02",LUNR        ,15.43,3
"20240822",AAPL        ,"02",TER         ,7.77,4
"20240822",AAPL        ,"02",AMD         ,4.98,5
"20240625",AAPL        ,"02",ETN         ,47.96,1
"20240625",AAPL        ,"02",NVDA        ,19.88,2
"20240625",AAPL        ,"02",MSFT        ,5.80,3
"20240625",AAPL        ,"02",MU          ,5.40,4
"20240625",AAPL        ,"02",BNKU        ,4.93,5
"20240603",AAPL        ,"02",COIN        ,5.34,5
"20240603",AAPL        ,"02",SMR         ,6.02,4
"20240603",AAPL        ,"02",FNGU        ,11.59,3
"20240603",AAPL        ,"02",MSFT        ,15.43,2
"20240603",AAPL        ,"02",TSLA        ,35.49,1
"20240731",AAPL        ,"02",O           ,7.43,5
"20240731",AAPL        ,"02",SERV        ,9.29,4
"20240731",AAPL        ,"02",TSLA        ,12.28,3
"20240731",AAPL        ,"02",CONL        ,13.82,2
"20240731",AAPL        ,"02",QQQ         ,37.09,1
"20240730",AAPL        ,"02",DIA         ,0.70,5
"20240730",AAPL        ,"02",CPNG        ,0.88,4
"20240730",AAPL        ,"02",F           ,1.43,3
"20240730",AAPL        ,"02",CGTX        ,5.52,2
"20240730",AAPL        ,"02",NVDA        ,90.70,1
"20240823",AAPL        ,"02",KO          ,41.48,1
"20240823",AAPL        ,"02",ULTA        ,29.08,2
"20240823",AAPL        ,"02",GIS         ,19.77,3
"20240823",AAPL        ,"02",OXY         ,8.72,4
"20240823",AAPL        ,"02",NVDA        ,0.96,5
"20240702",AAPL        ,"02",NKE         ,19.64,1
"20240702",AAPL        ,"02",SOXL        ,19.18,2
"20240702",AAPL        ,"02",MU          ,12.70,3
"20240702",AAPL        ,"02",VOO         ,8.54,4
"20240702",AAPL        ,"02",TSLA        ,8.34,5
"20240726",AAPL        ,"02",SOUN        ,0.01,5
"20240726",AAPL        ,"02",NKE         ,1.25,4
"20240726",AAPL        ,"02",TQQQ        ,24.24,3
"20240726",AAPL        ,"02",OKLO        ,29.64,2
"20240726",AAPL        ,"02",SMR         ,44.86,1
"20240703",AAPL        ,"02",DAVA        ,34.86,1
"20240703",AAPL        ,"02",GEV         ,17.18,2
"20240703",AAPL        ,"02",NXT         ,14.58,3
"20240703",AAPL        ,"02",TSLA        ,7.96,4
"20240703",AAPL        ,"02",SOXL        ,6.99,5
"20240529",AAPL        ,"02",SCHD        ,17.25,1
"20240529",AAPL        ,"02",NVDL        ,16.68,2
"20240529",AAPL        ,"02",GME         ,16.56,3
"20240529",AAPL        ,"02",SBUX        ,8.36,4
"20240529",AAPL        ,"02",FLNC        ,8.30,5
"20240709",AAPL        ,"02",QCOM        ,33.39,1
"20240709",AAPL        ,"02",NVDA        ,19.61,2
"20240709",AAPL        ,"02",AMD         ,16.32,3
"20240709",AAPL        ,"02",QLD         ,12.51,4
"20240709",AAPL        ,"02",INTC        ,6.83,5
"20240711",AAPL        ,"02",XLK         ,26.93,1
"20240711",AAPL        ,"02",NVDA        ,18.39,2
"20240711",AAPL        ,"02",MSFT        ,11.56,3
"20240711",AAPL        ,"02",OKLO        ,9.64,4
"20240711",AAPL        ,"02",AMZN        ,6.37,5
"20240712",AAPL        ,"02",NVDL        ,15.19,1
"20240712",AAPL        ,"02",META        ,14.99,2
"20240712",AAPL        ,"02",PFE         ,11.02,3
"20240712",AAPL        ,"02",NVDA        ,9.68,4
"20240712",AAPL        ,"02",TSM         ,8.63,5
"20240827",AAPL        ,"02",MSFT        ,96.44,1
"20240827",AAPL        ,"02",META        ,2.43,2
"20240827",AAPL        ,"02",VZ          ,0.58,3
"20240827",AAPL        ,"02",OXY         ,0.54,4
"20240827",AAPL        ,"02",SIRI        ,0.01,5
"20240718",AAPL        ,"02",SCHD        ,5.99,5
"20240718",AAPL        ,"02",AMZN        ,6.36,4
"20240718",AAPL        ,"02",GDX         ,7.74,3
"20240718",AAPL        ,"02",VKTX        ,8.44,2
"20240715",AAPL        ,"02",GOOGL       ,8.37,5
"20240715",AAPL        ,"02",CAT         ,9.11,4
"20240715",AAPL        ,"02",SOUN        ,9.96,3
"20240715",AAPL        ,"02",SOXL        ,15.91,2
"20240612",AAPL        ,"02",TMF         ,3.20,5
"20240809",AAPL        ,"02",SOXL        ,86.53,1
"20240809",AAPL        ,"02",NVDL        ,13.47,2
"20240626",AAPL        ,"02",META        ,5.50,5
"20240626",AAPL        ,"02",MSFT        ,7.63,4
"20240626",AAPL        ,"02",MU          ,19.33,3
"20240626",AAPL        ,"02",WMT         ,20.75,2
"20240626",AAPL        ,"02",NVDA        ,38.61,1
"20240729",AAPL        ,"02",NVDA        ,44.26,1
"20240729",AAPL        ,"02",GOOG        ,27.52,2
"20240729",AAPL        ,"02",TSLA        ,19.72,3
"20240729",AAPL        ,"02",SOXL        ,2.74,4
"20240729",AAPL        ,"02",NVO         ,2.07,5
"20240620",AAPL        ,"02",NVDA        ,17.64,3
"20240620",AAPL        ,"02",AMD         ,11.96,4
"20240620",AAPL        ,"02",NVDL        ,4.50,5
"20240808",AAPL        ,"02",SCHD        ,3.40,4
"20240808",AAPL        ,"02",PFE         ,6.65,3
"20240808",AAPL        ,"02",AMGN        ,3.17,5
"20240723",AAPL        ,"02",NVDU        ,9.79,4
"20240723",AAPL        ,"02",AMGN        ,10.59,3
"20240805",AAPL        ,"02",TLT         ,29.26,1
"20240723",AAPL        ,"02",SOXL        ,9.05,5
"20240814",AAPL        ,"02",NRDY        ,69.09,1
"20240805",AAPL        ,"02",TQQQ        ,11.63,2
"20240805",AAPL        ,"02",SOXL        ,11.24,3
"20240530",AAPL        ,"02",NVDX        ,8.18,5
"20240530",AAPL        ,"02",DELL        ,8.73,4
"20240724",AAPL        ,"02",TSLA        ,65.73,1
"20240724",AAPL        ,"02",NVDA        ,12.80,2
"20240724",AAPL        ,"02",SMCI        ,6.06,3
"20240724",AAPL        ,"02",AVGO        ,3.38,4
"20240724",AAPL        ,"02",MU          ,2.06,5
"20240530",AAPL        ,"02",NVDA        ,18.66,3
"20240722",AAPL        ,"02",AMD         ,4.64,5
"20240722",AAPL        ,"02",MSFT        ,6.69,4
"20240722",AAPL        ,"02",ARM         ,8.33,3
"20240722",AAPL        ,"02",META        ,12.16,2
"20240814",AAPL        ,"02",MA          ,13.02,2
"20240814",AAPL        ,"02",FCX         ,11.87,3
"20240814",AAPL        ,"02",SOAR        ,6.03,4
"20240530",AAPL        ,"02",QQQ         ,19.77,2
"20240530",AAPL        ,"02",MSFT        ,23.24,1
"20240805",AAPL        ,"02",SCHD        ,7.02,4
"20240805",AAPL        ,"02",AMZN        ,5.38,5
"20240528",AAPL        ,"02",SOXS        ,44.84,1
"20240722",AAPL        ,"02",CRWD        ,49.76,1
"20240704",AAPL        ,"02",O           ,29.23,1
"20240723",AAPL        ,"02",AVGO        ,13.77,2
"20240723",AAPL        ,"02",CONL        ,40.56,1
"20240808",AAPL        ,"02",SSO         ,9.41,2
"20240627",AAPL        ,"02",MU          ,36.70,1
"20240627",AAPL        ,"02",MSFT        ,21.36,2
"20240704",AAPL        ,"02",AVGO        ,24.09,2
"20240704",AAPL        ,"02",MSFT        ,12.84,3
"20240704",AAPL        ,"02",NVDA        ,10.72,4
"20240704",AAPL        ,"02",TSLA        ,6.87,5
"20240614",AAPL        ,"02",AVGO        ,28.65,1
"20240611",AAPL        ,"02",SOXS        ,5.61,5
"20240611",AAPL        ,"02",KNOP        ,6.64,4
"20240611",AAPL        ,"02",TSLA        ,8.08,3
"20240611",AAPL        ,"02",SOXL        ,15.42,2
"20240611",AAPL        ,"02",NVDA        ,28.30,1
"20240614",AAPL        ,"02",NVDA        ,18.43,2
"20240627",AAPL        ,"02",NVDA        ,14.58,3
"20240627",AAPL        ,"02",NVDL        ,10.53,4
"20240705",AAPL        ,"02",META        ,32.48,1
"20240705",AAPL        ,"02",NKE         ,23.96,2
"20240705",AAPL        ,"02",TSLA        ,15.70,3
"20240705",AAPL        ,"02",MAGS        ,15.27,4
"20240705",AAPL        ,"02",AMZN        ,12.59,5
"20240627",AAPL        ,"02",GOOGL       ,6.63,5
"20240708",AAPL        ,"02",TQQQ        ,37.55,1
"20240708",AAPL        ,"02",UPRO        ,15.11,2
"20240708",AAPL        ,"02",NVO         ,10.87,3
"20240708",AAPL        ,"02",AMZN        ,8.94,4
"20240708",AAPL        ,"02",TSLT        ,3.36,5
"20240802",AAPL        ,"02",SOXS        ,51.20,1
"20240612",AAPL        ,"02",AAPX        ,4.73,4
"20240621",AAPL        ,"02",NVDL        ,29.10,1
"20240621",AAPL        ,"02",NVDA        ,27.58,2
"20240621",AAPL        ,"02",MSFT        ,26.93,3
"20240621",AAPL        ,"02",TSLA        ,5.92,4
"20240621",AAPL        ,"02",AMD         ,3.13,5
"20240808",AAPL        ,"02",TQQQ        ,65.65,1
"20240614",AAPL        ,"02",MSTY        ,10.81,3
"20240614",AAPL        ,"02",IBM         ,9.62,4
"20240614",AAPL        ,"02",AMD         ,7.28,5
"20240819",AAPL        ,"02",SMR         ,3.32,5
"20240819",AAPL        ,"02",PFE         ,4.43,4
"20240819",AAPL        ,"02",GOOG        ,6.64,3
"20240819",AAPL        ,"02",MSFT        ,25.31,2
"20240819",AAPL        ,"02",NVDA        ,49.27,1
"20240617",AAPL        ,"02",ENPH        ,7.64,5
"20240617",AAPL        ,"02",TSLA        ,8.37,4
"20240617",AAPL        ,"02",NVDA        ,13.21,3
"20240617",AAPL        ,"02",AVGO        ,14.18,2
"20240617",AAPL        ,"02",BNKU        ,17.25,1
"20240701",AAPL        ,"02",DJT         ,3.33,5
"20240701",AAPL        ,"02",TSLA        ,14.26,4
"20240701",AAPL        ,"02",MSFT        ,15.16,3
"20240701",AAPL        ,"02",NKE         ,26.40,2
"20240701",AAPL        ,"02",MU          ,27.89,1
"20240725",AAPL        ,"02",TSLA        ,21.00,1
"20240725",AAPL        ,"02",TSLZ        ,20.96,2
"20240725",AAPL        ,"02",ITB         ,13.97,3
"20240725",AAPL        ,"02",IWM         ,12.92,4
"20240725",AAPL        ,"02",NVDL        ,8.01,5
"20240801",AAPL        ,"02",BABA        ,2.37,5
"20240801",AAPL        ,"02",PFE         ,11.02,4
"20240801",AAPL        ,"02",NVDS        ,11.06,3
"20240801",AAPL        ,"02",TQQQ        ,15.40,2
"20240801",AAPL        ,"02",NVDL        ,53.52,1
"20240528",AAPL        ,"02",SBUX        ,8.37,5
"20240528",AAPL        ,"02",DNA         ,8.77,4
"20240528",AAPL        ,"02",GOOGL       ,11.61,3
"20240528",AAPL        ,"02",TSM         ,14.86,2
"20240826",AAPL        ,"02",META        ,51.20,1
"20240826",AAPL        ,"02",SSO         ,40.51,2
"20240826",AAPL        ,"02",CEG         ,8.27,3
"20240826",AAPL        ,"02",BLDP        ,0.02,4
"20240610",AAPL        ,"02",NVDA        ,60.99,1
"20240610",AAPL        ,"02",SOXS        ,16.42,2
"20240610",AAPL        ,"02",SQQQ        ,11.76,3
"20240610",AAPL        ,"02",PFE         ,4.51,4
"20240610",AAPL        ,"02",TSLA        ,2.24,5
"20240802",AAPL        ,"02",ARM         ,17.24,2
"20240628",AAPL        ,"02",RIVN        ,6.43,5
"20240628",AAPL        ,"02",MSFT        ,8.57,4
"20240628",AAPL        ,"02",META        ,18.02,3
"20240628",AAPL        ,"02",AVGO        ,25.02,2
"20240628",AAPL        ,"02",NVDA        ,29.72,1
"20240624",AAPL        ,"02",TSLA        ,5.68,5
"20240802",AAPL        ,"02",BIL         ,16.29,3
"20240802",AAPL        ,"02",MAGS        ,9.99,4
"20240624",AAPL        ,"02",GDDY        ,6.41,4
"20240624",AAPL        ,"02",QCOM        ,9.89,3
"20240624",AAPL        ,"02",DELL        ,15.75,2
